Bangladesh;166132772;55598
Taiwan;23590744;13976
South Korea;51635256;38691
Rwanda;12001136;10169
Netherlands;17301708;16033
Haiti;11112945;10450
India;1344098517;1269211
Israel;8997000;8522
Burundi;10681186;10740
Belgium;11454906;11787
Philippines;107275680;115831
Japan;126320000;145925
Sri Lanka;21670000;25332
Vietnam;94660000;127882
United Kingdom;66040229;93788
Pakistan;203841217;310403
Germany;82979100;137903
Dominican Republic;10266149;18485
North Korea;25610672;47399
Nigeria;195875237;356669
