Alaska;570640.95;94743.10
Texas;261231.71;7364.75
California;155779.22;7915.52
Montana;145545.80;1493.91
New Mexico;121298.15;292.15
Arizona;113594.08;	396.22
Nevada;109781.18;790.65
Colorado;103641.89;451.78
Oregon;95988.01;2390.53
Wyoming;97093.14;719.87
Michigan;56538.90;40174.61
Minnesota;79626.74;7309.09
Utah;82169.62;2727.26
Idaho;82643.12;925.83
Kansas;81758.72;519.64
Nebraska;76824.17;523.64
South Dakota;75811.00;1304.68
Washington;66455.52;4842.43
North Dakota;69000.80;1697.52
Oklahoma;68594.92;1303.95
