Date,Expense Category,Amount
2019-03-15,Meals & Entertainment,1879.46
2019-10-01,Fuel,1769.80
2021-02-26,Meals & Entertainment,373.34
2019-03-12,Meals & Entertainment,1256.93
2021-09-23,Office Supplies,955.83
2019-12-22,Rent,913.64
2020-05-20,Fuel,1201.49
2019-05-16,Vehicle Lease,1130.39
2021-04-24,Fuel,1168.92
2022-07-04,Office Supplies,1549.59
2020-09-07,Rent,450.91
2019-12-16,Office Supplies,1550.06
2021-11-30,Meals & Entertainment,192.91
2020-01-28,Utilities,1890.54
2021-02-18,Utilities,616.92
2019-06-29,Utilities,287.30
2022-12-24,Salaries & Benefits,1845.05
2021-09-09,Rent,383.07
2020-09-07,Meals & Entertainment,1967.39
2021-12-01,Utilities,1284.78
2021-12-29,Office Supplies,684.31
2022-04-01,Salaries & Benefits,194.48
2022-12-08,Rent,1148.86
2020-07-20,Utilities,807.75
2019-04-28,Vehicle Lease,1807.33
2019-06-11,Office Supplies,977.77
2022-10-17,Vehicle Lease,1303.56
2021-08-26,Meals & Entertainment,139.82
2022-11-16,Salaries & Benefits,1877.44
2021-11-28,Utilities,1255.58
2021-05-30,Salaries & Benefits,462.87
2019-02-16,Salaries & Benefits,174.47
2019-03-28,Vehicle Lease,463.91
2019-12-01,Rent,117.20
2019-04-06,Office Supplies,709.07
2022-01-22,Rent,258.65
2022-07-06,Vehicle Lease,195.57
2022-05-14,Office Supplies,750.94
2021-07-30,Utilities,710.41
2020-09-23,Fuel,1457.73
2021-11-27,Meals & Entertainment,1985.39
2021-07-25,Vehicle Lease,393.95
2019-11-09,Rent,1841.73
2020-12-18,Salaries & Benefits,368.34
2021-03-16,Rent,628.21
2022-02-13,Fuel,880.78
2020-02-15,Utilities,1871.55
2021-03-01,Salaries & Benefits,714.01
2020-04-30,Utilities,1547.73
2021-04-25,Vehicle Lease,1068.14
2022-09-02,Fuel,1265.62
2021-07-10,Fuel,1741.80
2019-08-08,Meals & Entertainment,133.72
2021-12-20,Vehicle Lease,1105.35
2021-12-01,Vehicle Lease,1148.53
2020-04-18,Salaries & Benefits,1782.98
2021-07-30,Rent,1174.25
2020-07-16,Utilities,1048.56
2019-04-02,Fuel,652.82
2019-10-09,Office Supplies,195.87
2020-02-21,Vehicle Lease,475.86
2022-05-12,Meals & Entertainment,621.42
2021-10-18,Vehicle Lease,104.65
2019-11-15,Salaries & Benefits,1869.87
2021-05-24,Meals & Entertainment,1120.52
2021-05-03,Utilities,334.73
2021-01-27,Office Supplies,1232.04
2019-04-19,Salaries & Benefits,343.40
2020-02-08,Salaries & Benefits,1888.22
2022-09-28,Utilities,557.82
2022-01-01,Meals & Entertainment,870.34
2021-12-18,Vehicle Lease,476.90
2019-09-04,Meals & Entertainment,813.08
2022-05-20,Utilities,1812.23
2019-03-02,Rent,610.96
2019-01-20,Office Supplies,539.71
2021-04-11,Vehicle Lease,1943.49
2020-01-12,Salaries & Benefits,1818.61
2021-10-21,Office Supplies,415.50
2021-07-06,Fuel,490.05
2019-11-24,Vehicle Lease,1693.21
2019-07-02,Salaries & Benefits,1643.54
2021-11-08,Office Supplies,1712.20
2022-07-15,Utilities,1810.11
2019-11-28,Salaries & Benefits,385.42
2022-01-20,Rent,1511.99
2020-05-22,Utilities,1393.18
2019-05-06,Meals & Entertainment,845.21
2020-03-23,Rent,606.26
2021-12-17,Vehicle Lease,1644.36
2022-08-03,Utilities,582.56
2020-08-12,Salaries & Benefits,1422.57
2020-10-19,Meals & Entertainment,493.57
2022-10-04,Rent,1402.23
2022-04-28,Rent,698.67
2021-09-10,Office Supplies,591.36
2020-08-09,Office Supplies,777.84
2022-07-04,Utilities,1329.04
2019-11-18,Utilities,928.31
2020-12-25,Vehicle Lease,1234.81
2020-05-20,Rent,1263.23
2020-08-03,Meals & Entertainment,1179.53
2019-09-15,Utilities,1126.70
2021-12-29,Salaries & Benefits,1559.03
2019-10-28,Vehicle Lease,1265.21
2021-05-12,Vehicle Lease,1222.08
2021-06-03,Salaries & Benefits,1447.47
2019-04-21,Meals & Entertainment,742.05
2020-07-14,Rent,1046.06
2022-07-07,Meals & Entertainment,683.39
2021-04-19,Meals & Entertainment,1170.70
2020-02-03,Office Supplies,1825.50
2019-10-05,Vehicle Lease,1826.43
2019-12-14,Utilities,1003.58
2022-04-07,Meals & Entertainment,426.40
2020-06-19,Fuel,1327.74
2019-04-30,Fuel,845.89
2020-04-24,Vehicle Lease,403.37
2019-09-19,Salaries & Benefits,733.46
2022-03-31,Utilities,193.83
2021-12-21,Utilities,1373.63
2021-07-21,Office Supplies,1045.72
2021-11-17,Office Supplies,259.62
2021-07-02,Meals & Entertainment,1502.08
2021-11-08,Utilities,142.20
2022-08-01,Utilities,1608.62
2021-10-17,Office Supplies,117.25
2020-03-04,Office Supplies,1667.39
2021-10-12,Rent,258.80
2020-05-20,Meals & Entertainment,491.77
2021-01-14,Salaries & Benefits,442.58
2022-11-28,Utilities,1382.24
2021-07-15,Utilities,1729.64
2022-11-19,Meals & Entertainment,610.82
2022-11-24,Office Supplies,942.90
2021-04-02,Utilities,122.77
2021-06-26,Vehicle Lease,115.07
2022-10-16,Fuel,1822.45
2020-06-17,Meals & Entertainment,1880.58
2020-06-14,Salaries & Benefits,1505.81
2021-10-13,Salaries & Benefits,931.94
2022-07-20,Utilities,424.90
2021-05-30,Fuel,785.28
2020-06-28,Vehicle Lease,1422.47
2021-07-16,Salaries & Benefits,999.96
2020-09-17,Office Supplies,234.18
2019-05-18,Utilities,1049.47
2019-01-30,Office Supplies,1211.28
2020-12-23,Utilities,1738.98
2022-07-11,Office Supplies,886.49
2020-03-02,Salaries & Benefits,1760.93
2021-08-16,Meals & Entertainment,1312.36
2020-07-25,Office Supplies,1389.53
2019-06-25,Office Supplies,1319.92
2021-09-21,Salaries & Benefits,432.65
2020-10-31,Fuel,1804.45
2020-07-18,Rent,1135.51
2022-09-30,Rent,421.88
2020-09-08,Office Supplies,1252.95
2022-12-04,Utilities,1603.87
2019-01-17,Salaries & Benefits,441.88
2021-01-02,Fuel,1166.53
2019-03-08,Rent,1770.83
2021-08-23,Rent,851.62
2020-11-25,Meals & Entertainment,222.29
2019-04-10,Vehicle Lease,1512.41
2020-04-23,Rent,204.12
2021-11-13,Rent,1655.40
2019-10-27,Utilities,1792.27
2021-10-20,Salaries & Benefits,1092.32
2020-12-06,Fuel,1938.96
2022-10-12,Office Supplies,1142.00
2020-07-29,Meals & Entertainment,1887.63
2021-04-13,Utilities,1699.91
2021-05-20,Fuel,985.20
2022-06-24,Salaries & Benefits,1286.38
2020-12-15,Office Supplies,1484.72
2020-07-13,Salaries & Benefits,159.85
2020-02-10,Office Supplies,1650.91
2019-01-23,Salaries & Benefits,1792.32
2020-07-19,Office Supplies,819.76
2020-04-12,Utilities,383.77
2021-06-04,Vehicle Lease,1126.04
2020-06-06,Meals & Entertainment,1428.97
2021-09-09,Office Supplies,316.31
2021-04-30,Vehicle Lease,1017.18
2020-12-19,Fuel,1656.12
2020-07-29,Fuel,561.56
2019-11-26,Utilities,1752.68
2021-11-17,Office Supplies,1681.58
2022-01-20,Office Supplies,1837.93
2019-01-19,Fuel,285.62
2019-08-08,Salaries & Benefits,1300.72
2021-06-15,Office Supplies,547.36
2022-01-02,Utilities,286.87
2021-04-07,Utilities,1774.17
2020-05-25,Utilities,1691.04
2020-10-09,Salaries & Benefits,424.66
2020-08-04,Rent,1701.51
2019-01-09,Rent,959.75
2019-08-24,Salaries & Benefits,1346.31
2021-12-24,Utilities,100.27
2022-02-23,Utilities,382.51
2020-08-18,Meals & Entertainment,1670.58
2020-02-16,Vehicle Lease,1740.06
